Ch	LOCODE	Name	NameWoDiacritics	SubDiv	Function	Status	Date	IATA	Coordinates	Remarks
 	US  OQU 	Aaron 	Aaron 	GA 	--3----- 	RL 	1407 	 	3234N 08159W 	 
 	US  AA7 	Aaronsburg 	Aaronsburg 	PA 	--3----- 	RL 	1301 	 	4053N 07727W 	 
 	US  ABF 	Abbeville 	Abbeville 	SC 	--3----- 	RQ 	9307 	 	 	 
 	US  AV4 	Abbeville 	Abbeville 	MS 	--3----- 	RL 	1201 	 	3430N 08930W 	 
 	US  UAB 	Abbeville 	Abbeville 	LA 	--3----- 	RQ 	9307 	 	 	 
 	US  ABB 	Abbeville 	Abbeville 	AL 	--3----- 	RQ 	9307 	 	 	 
 	US  ABD 	Abbotsford 	Abbotsford 	WI 	--3----- 	RQ 	9307 	 	 	 
 	US  ABJ 	Abbott Park 	Abbott Park 	IL 	--3----- 	RL 	0601 	 	4219N 08751W 	 
 	US  AQW 	Abbottstown 	Abbottstown 	PA 	1----6-- 	RQ 	1001 	 	3953N 07659W 	 
 	US  A4B 	Abbyville 	Abbyville 	KS 	--3----- 	RL 	1301 	 	3758N 09812W 	 
 	US  AC8 	Abercrombie 	Abercrombie 	ND 	--3----- 	RL 	1301 	 	4626N 09643W 	 
 	US  APD 	Aberdeen 	Aberdeen 	ID 	-23----- 	RL 	0607 	 	4256N 11250W 	 
 	US  XBA 	Aberdeen 	Aberdeen 	SC 	--3----- 	RQ 	9307 	 	 	 
 	US  UAE 	Aberdeen 	Aberdeen 	NC 	--3----- 	RQ 	9307 	 	 	 
¦ 	US  APG 	Aberdeen 	Aberdeen 	MD 	--34---- 	AI 	1601 	 	 	@Fun 
 	US  AHD 	Aberdeen 	Aberdeen 	OH 	--3----- 	RL 	0607 	 	3839N 08345W 	 
 	US  AEK 	Aberdeen 	Aberdeen 	MS 	123----- 	RL 	0601 	 	3349N 08833W 	 
 	US  ABR 	Aberdeen 	Aberdeen 	SD 	--34---- 	RL 	0401 	 	4527N 09829W 	 
 	US  ABK 	Aberdeen 	Aberdeen 	KY 	--3----- 	RL 	0507 	 	3715N 08641W 	 
 	US  AB3 	Aberdeen 	Aberdeen 	NJ 	1-3--6-- 	RL 	0607 	 	4023N 07415W 	 
 	US  GHR 	Aberdeen 	Aberdeen 	WA 	--3----- 	RL 	0201 	 	4658N 12349W 	 
 	US  AN7 	Aberdin 	Aberdin 	NC 	-----6-- 	RL 	1201 	 	3508N 07925W 	 
 	US  UAF 	Abernathy 	Abernathy 	TX 	--3----- 	RQ 	9307 	 	 	 
 	US  ABZ 	Abilene 	Abilene 	KS 	--3----- 	RQ 	9307 	 	 	 
 	US  ABI 	Abilene 	Abilene 	TX 	--34---- 	RQ 	9008 	 	 	 
 	US  VJI 	Abingdon 	Abingdon 	VA 	-23----- 	RL 	0212 	 	3642N 08159W 	 
 	US  NGD 	Abingdon 	Abingdon 	MD 	--3----- 	RL 	0701 	 	3927N 07616W 	 
 	US  ABG 	Abingdon 	Abingdon 	IL 	--3----- 	RQ 	9307 	 	 	 
 	US  AP3 	Abington 	Abington 	PA 	--3----- 	RL 	1301 	 	4007N 07507W 	 
 	US  UUM 	Abington 	Abington 	MA 	-23----- 	RL 	0607 	 	4207N 07056W 	 
 	US  AQ2 	Abiquiu 	Abiquiu 	NM 	--3----- 	RL 	1201 	 	3612N 10619W 	 
 	US  TPG 	Abita Springs 	Abita Springs 	LA 	--3----- 	RL 	0701 	 	3028N 09002W 	 
 	US  QYA 	Abrams 	Abrams 	WI 	--3----- 	RL 	1207 	 	4446N 08803W 	 
 	US  ACX 	Absecon 	Absecon 	NJ 	--3--6-- 	RL 	0507 	 	3925N 07429W 	 
 	US  AA4 	Acampo 	Acampo 	CA 	-23--6-- 	RL 	0607 	 	3810N 12117W 	 
 	US  AJT 	Accident 	Accident 	MD 	--3----- 	RL 	0701 	 	3938N 07919W 	 
 	US  JOK 	Accokeek 	Accokeek 	MD 	--3----- 	RL 	1107 	 	3840N 07701W 	 
 	US  AQC 	Accomac 	Accomac 	VA 	--3----- 	RL 	0701 	 	3743N 07539W 	 
 	US  A8C 	Accord 	Accord 	MA 	1-3----- 	RL 	1401 	 	4210N 07053W 	 
+ 	US  AC9 	Accord 	Accord 	NY 	--3----- 	RL 	1601 	 	4147N 07413W 	 
 	US  UAG 	Ackerman 	Ackerman 	MS 	-23----- 	RL 	0207 	 	3318N 08910W 	 
 	US  ACR 	Ackerman 	Ackerman 	GA 	-23----- 	RQ 	0207 	 	 	 
 	US  AKY 	Ackley 	Ackley 	IA 	--3----- 	RQ 	9307 	 	 	 
 	US  QZA 	Acme 	Acme 	WA 	-23----- 	RL 	0901 	 	4843N 12212W 	 
 	US  DMF 	Acme 	Acme 	MI 	--3----- 	RL 	1201 	 	4446N 08530W 	 
 	US  QCA 	Acra 	Acra 	NY 	--3----- 	RL 	0212 	 	4218N 07403W 	 
 	US  TZO 	Acton 	Acton 	TX 	--3----- 	RQ 	0907 	 	3226N 09741W 	 
 	US  UAH 	Acton 	Acton 	MA 	--3----- 	RQ 	9307 	 	 	 
 	US  KUS 	Acushnet 	Acushnet 	MA 	--3----- 	RL 	0901 	 	4140N 07054W 	 
 	US  AWR 	Acworth 	Acworth 	GA 	--3----- 	RL 	0002 	 	 	 
 	US  DD2 	Ada 	Ada 	MN 	-23--6-- 	RL 	0607 	 	4718N 09631W 	 
 	US  AJJ 	Ada 	Ada 	OH 	--3--6-- 	RL 	0901 	 	4046N 08349W 	 
 	US  ADT 	Ada 	Ada 	OK 	--3----- 	AI 	9601 	 	 	 
 	US  ADZ 	Ada 	Ada 	MI 	--3----- 	RQ 	9307 	 	 	 
 	US  2AR 	Adair 	Adair 	OK 	--3----- 	RL 	1307 	 	3626N 09516W 	 
 	US  ADV 	Adairsville 	Adairsville 	GA 	--3----- 	RQ 	9008 	 	 	 
 	US  AD3 	Adairville 	Adairville 	KY 	--3----- 	RL 	1107 	 	3640N 08651W 	 
 	US  AXK 	Adak 	Adak 	AK 	--3----- 	RL 	0901 	 	5152N 17639E 	 
= 	US   	Adak = Adak Island 	Adak = Adak Island 	 	 	 	 	 	 	 
 	US  ADK 	Adak Island/Adak Apt 	Adak Island/Adak Apt 	AK 	---4---- 	AI 	9601 	 	 	 
 	US  AKM 	Adams 	Adams 	TN 	-23----- 	RL 	0607 	 	3635N 08704W 	 
 	US  AZM 	Adams 	Adams 	WI 	-23----- 	RL 	0607 	 	4357N 08948W 	 
 	US  UAN 	Adams 	Adams 	MA 	--3----- 	RQ 	9307 	 	 	 
 	US  UAT 	Adams 	Adams 	OR 	--3----- 	RQ 	9307 	 	 	 
 	US  ADH 	Adams Center 	Adams Center 	NY 	--3----- 	RL 	0907 	 	4349N 07601W 	 
 	US  YP2 	Adams City 	Adams City 	CO 	--3----- 	RL 	1407 	 	3949N 10455W 	 
 	US  UAJ 	Adams Run 	Adams Run 	SC 	--3--6-- 	RL 	0601 	 	3243N 08021W 	 
 	US  DST 	Adamston 	Adamston 	WV 	123--6-- 	RL 	0407 	 	3917N 08021W 	 
 	US  AN6 	Adamstown 	Adamstown 	MD 	-----6-- 	RL 	1201 	 	3918N 07728W 	 
 	US  AEJ 	Adamstown 	Adamstown 	PA 	--3----- 	RL 	0601 	 	4014N 07604W 	 
 	US  UAM 	Adamsville 	Adamsville 	TN 	--3----- 	RQ 	9307 	 	 	 
 	US  ADD 	Addis 	Addis 	LA 	--3----- 	RQ 	9307 	 	 	 
 	US  IAB 	Addison 	Addison 	ME 	1-3--6-- 	RL 	0601 	 	4437N 06745W 	 
 	US  XDS 	Addison 	Addison 	NY 	--3----- 	RL 	1207 	 	4206N 07714W 	 
 	US  YAI 	Addison 	Addison 	MI 	--3----- 	RL 	0212 	 	4159N 08421W 	 
 	US  QDS 	Addison 	Addison 	PA 	--3----- 	RQ 	1001 	 	3944N 07920W 	 
 	US  ADX 	Addison 	Addison 	OH 	--3----- 	RQ 	9307 	 	 	 
 	US  ADS 	Addison 	Addison 	AL 	--3----- 	RQ 	0002 	 	 	 
 	US  UAP 	Addison 	Addison 	IL 	--3----- 	RQ 	9307 	 	 	 
 	US  DDX 	Addison 	Addison 	TX 	--3----- 	RL 	0201 	 	3258N 09650W 	 
 	US  UAS 	Addyston 	Addyston 	OH 	--3----- 	RQ 	9307 	 	 	 
 	US  ADE 	Adel 	Adel 	GA 	--3----- 	RQ 	9307 	 	 	 
 	US  ZAE 	Adel 	Adel 	IA 	--3----- 	RL 	0212 	 	4137N 09401W 	 
 	US  ADU 	Adelanto 	Adelanto 	CA 	--3----- 	RL 	0507 	 	3434N 11724W 	 
 	US  AJD 	Adell 	Adell 	WI 	-23----- 	RL 	0607 	 	4337N 08757W 	 
 	US  A9D 	Adelphi 	Adelphi 	MD 	--3----- 	RL 	1301 	 	3859N 07658W 	 
 	US  AHP 	Adelphia 	Adelphia 	NJ 	--3----- 	RL 	0701 	 	4013N 07415W 	 
 	US  AGE 	Adger 	Adger 	AL 	--3----- 	AI 	9601 	 	 	 
 	US  RZU 	Adkins 	Adkins 	TX 	--3----- 	RL 	1401 	 	2923N 09814W 	 
 	US  AQA 	Adrian 	Adrian 	OH 	--3----- 	RL 	0701 	 	4105N 08319W 	 
 	US  AI4 	Adrian 	Adrian 	MN 	--3----- 	RL 	1301 	 	4338N 09555W 	 
 	US  UAO 	Adrian 	Adrian 	OR 	--3----- 	RQ 	9307 	 	 	 
 	US  DIA 	Adrian 	Adrian 	WI 	1-3----- 	RL 	0407 	 	4356N 09036W 	 
